Team, Handling, Experience, Cutting,Name, Years Since Playing 
0, 5,Name 25, 4 , 12,24, 3,25
0, 3,Name 11, 1 , 11,22, 4,11
0, 2,Name 87, 1 , 9,18, 4,87
0, 1,Name 88, 10 , 8,16, 1,88
0, 2,Name 41, 2 , 7,14, 3,41
0, 0,Name 36, 5 , 6,12, 1,36
0, 2,Name 73, 5 , 6,12, 3,73
0, 2,Name 1, 2 , 5,10, 2,1
0, 3,Name 110, 15 , 5,10, 3,110
0, 5,Name 14, 1 , 3,6, 5,14
0, 2,Name 10, 1 , 2,4, 2,10
0, 2,Name 75, 3 , 2,4, 2,75
0, 5,Name 5, 2 , 1,2, 4,5
0, 3,Name 67, 2 , 1,2, 4,67
0, 2,Name 99, 1 , 1,2, 5,99
1, 2,Name 100, 1 , 12,24, 3,100
1, 5,Name 56, 11 , 10,20, 3,56
1, 2,Name 113, 11 , 9,18, 1,113
1, 4,Name 93, 11 , 8,16, 5,93
1, 5,Name 61, 5 , 7,14, 2,61
1, 3,Name 66, 3 , 7,14, 4,66
1, 4,Name 78, 3 , 6,12, 3,78
1, 1,Name 20, 14 , 5,10, 2,20
1, 2,Name 44, 4 , 4,8, 3,44
1, 3,Name 7, 9 , 3,6, 5,7
1, 2,Name 114, 5 , 3,6, 0,114
1, 0,Name 27, 7 , 2,4, 2,27
1, 2,Name 102, 8 , 2,4, 1,102
1, 4,Name 63, 7 , 1,2, 4,63
1, 0,Name 97, 9 , 1,2, 0,97
2, 2,Name 92, 1 , 13,26, 2,92
2, 2,Name 77, 8 , 10,20, 2,77
2, 5,Name 112, 8 , 9,18, 0,112
2, 0,Name 109, 15 , 8,16, 4,109
2, 1,Name 52, 10 , 7,14, 2,52
2, 3,Name 43, 2 , 6,12, 1,43
2, 0,Name 116, 4 , 6,12, 2,116
2, 2,Name 64, 2 , 5,10, 2,64
2, 2,Name 47, 10 , 4,8, 4,47
2, 0,Name 15, 2 , 3,6, 5,15
2, 3,Name 119, 1 , 3,6, 0,119
2, 3,Name 81, 3 , 2,4, 3,81
2, 3,Name 111, 17 , 2,4, 3,111
2, 1,Name 55, 3 , 1,2, 5,55
2, 3,Name 96, 12 , 1,2, 2,96
3, 5,Name 4, 6 , 12,24, 2,4
3, 0,Name 89, 1 , 10,20, 0,89
3, 5,Name 49, 1 , 9,18, 1,49
3, 5,Name 58, 7 , 8,16, 4,58
3, 0,Name 118, 8 , 8,16, 3,118
3, 2,Name 70, 14 , 7,14, 0,70
3, 2,Name 105, 14 , 6,12, 0,105
3, 5,Name 62, 15 , 5,10, 1,62
3, 0,Name 57, 4 , 4,8, 3,57
3, 5,Name 8, 8 , 3,6, 5,8
3, 1,Name 101, 3 , 3,6, 1,101
3, 3,Name 28, 1 , 2,4, 2,28
3, 1,Name 13, 1 , 1,2, 0,13
3, 0,Name 48, 8 , 1,2, 2,48
3, 0,Name 85, 13 , 1,2, 1,85
4, 1,Name 71, 11 , 13,26, 2,71
4, 3,Name 106, 15 , 11,22, 3,106
4, 3,Name 79, 6 , 9,18, 3,79
4, 0,Name 82, 13 , 8,16, 2,82
4, 0,Name 35, 14 , 7,14, 4,35
4, 5,Name 32, 2 , 6,12, 2,32
4, 0,Name 104, 6 , 6,12, 3,104
4, 4,Name 21, 13 , 5,10, 2,21
4, 2,Name 24, 9 , 4,8, 0,24
4, 5,Name 6, 6 , 3,6, 5,6
4, 5,Name 59, 16 , 3,6, 1,59
4, 1,Name 76, 8 , 2,4, 3,76
4, 2,Name 9, 12 , 1,2, 4,9
4, 0,Name 46, 9 , 1,2, 4,46
4, 3,Name 84, 5 , 1,2, 3,84
5, 5,Name 3, 4 , 13,26, 4,3
5, 2,Name 54, 12 , 11,22, 1,54
5, 0,Name 42, 16 , 9,18, 4,42
5, 2,Name 60, 9 , 8,16, 1,60
5, 5,Name 34, 17 , 7,14, 5,34
5, 2,Name 19, 7 , 6,12, 4,19
5, 1,Name 94, 6 , 6,12, 4,94
5, 0,Name 33, 6 , 5,10, 0,33
5, 4,Name 16, 3 , 4,8, 1,16
5, 3,Name 103, 1 , 4,8, 1,103
5, 4,Name 38, 8 , 3,6, 1,38
5, 3,Name 72, 11 , 2,4, 1,72
5, 2,Name 90, 2 , 2,4, 2,90
5, 5,Name 39, 4 , 1,2, 2,39
5, 4,Name 83, 8 , 1,2, 1,83
6, 3,Name 51, 6 , 13,26, 3,51
6, 2,Name 117, 9 , 11,22, 4,117
6, 2,Name 108, 11 , 10,20, 3,108
6, 5,Name 40, 3 , 8,16, 0,40
6, 3,Name 26, 19 , 7,14, 0,26
6, 3,Name 95, 4 , 7,14, 3,95
6, 5,Name 91, 10 , 6,12, 1,91
6, 2,Name 23, 7 , 5,10, 4,23
6, 5,Name 0, 1 , 4,8, 0,0
6, 5,Name 86, 16 , 4,8, 3,86
6, 0,Name 37, 3 , 3,6, 2,37
6, 4,Name 53, 8 , 2,4, 1,53
6, 4,Name 2, 2 , 1,2, 3,2
6, 3,Name 45, 11 , 1,2, 3,45
